Northing,Easting,Zone
5091752.2485584,683068.336433333,19
5091752.41392494,683220.041521518,19
5091779.05459811,683173.489854876,19
5091834.7758847,683083.883197646,19
5091783.97936381,683429.140315941,19
5091813.27206409,683303.474604075,19
5091846.51176743,683411.692698817,19
5091848.47755567,683346.871362067,19
5091927.25432913,680344.753461847,19
5091881.62574061,681383.026842086,19
5091881.62574061,681383.026842086,19
5091886.15422826,681351.715578852,19
5091887.18089156,681382.863623288,19
5091991.5158263,681414.155584533,19
5091993.0572086,681821.670575994,19
5092004.47871399,681990.330520644,19
5092047.04821126,682302.326493933,19
5091867.50709976,682465.694005624,19
5091878.06521095,682630.893105791,19
5091878.53994212,682507.870269299,19
5091976.4025133,682579.510203546,19
5091982.87012956,682497.417882839,19
5091982.87012956,682497.417882839,19
5091982.87012956,682497.417882839,19
5091987.28275448,682624.016822864,19
5091995.79363853,682607.245247523,19
5091894.66683483,682722.15432987,19
5091894.66683483,682722.15432987,19
5091894.66683483,682722.15432987,19
5091966.99638035,682843.951579355,19
5091966.99638035,682843.951579355,19
5092014.92607273,682693.85394454,19
5092033.77523197,682752.084582915,19
5091852.3561339,683046.753505935,19
5091952.96645458,682948.373161352,19
5091971.72430014,682958.442759937,19
5091891.68658892,683150.525403335,19
5091909.92053501,683191.633841162,19
5091909.92053501,683191.633841162,19
5092034.07867565,683159.873523394,19
5091856.99054213,683408.821887363,19
5091949.19946642,684201.068353673,19
5091949.19946642,684201.068353673,19
5091949.19946642,684201.068353673,19
5091949.19946642,684201.068353673,19
5091949.19946642,684201.068353673,19
5092148.01162956,680281.069842723,19
5092081.37736584,681202.658535534,19
5092075.91572767,681765.561455478,19
5092112.26005418,681787.602778418,19
5092113.66862589,681790.120623494,19
5092084.34921162,681912.126190938,19
5092223.86034871,681854.037259532,19
5092244.35677733,681870.340139904,19
5092050.01566258,682067.630232595,19
5092054.58423992,682199.806804378,19
5092166.76917892,682248.224883182,19
5092170.04859065,682242.544091466,19
